Rang,Tendenz,"Unterschied Vorjahr",Stadt,Gesamt,"Intelligente Straßenbeleuchtung",Energielösungen,"Smart Waste","Anteil E-Fahrzeuge",Ladeinfrastruktur,"Emissionsarme Busse","Smart Grid und Smart Meter","Weitere Pilotprojekte"
1,↗ ,+2,Heidelberg,"68,82","40,00","52,08","100,00","86,20","44,23","53,33","95,00","35,00"
2,↑ ,+10,München,"68,38","75,00","35,76","25,00","95,00","70,16","66,67","100,00","35,00"
3,↗ ,+3,Stuttgart,"67,33","50,00","40,82","100,00","97,50","79,88","53,33","50,00","23,33"
4,↘ ,-2,Darmstadt,"65,88","60,00","15,35","100,00","96,20","72,66","66,67","50,00","23,33"
5,↘ ,-4,Hamburg,"64,76","60,00","21,47","50,00","81,20","89,96","50,00","100,00","23,33"
6,↑ ,+15,Osnabrück,"63,88","40,00","67,35","50,00","71,20","85,96","93,33","50,00","11,66"
7,↗ ,+2,Münster,"59,80","35,00","69,39","50,00","90,00","38,50","83,33","50,00","23,33"
8,n.a.,,Kaiserslautern,"57,90","40,00","82,69","87,50","40,00","55,40","60,00","25,00","35,00"
9,↗ ,+5,Solingen,"57,53","65,00","41,88","50,00","36,20","88,12","80,00","50,00","11,66"
10,↑,+14,Köln,"57,26","80,00","28,57","50,00","56,20","51,11","36,67","95,00","23,33"
11,↑,+14,"Freiburg im Breisgau","57,10","0,00","85,71","62,50","88,70","51,08","46,67","50,00","35,00"
12,↗,+1,Leipzig,"56,57","40,00","82,69","0,00","60,00","78,07","70,00","50,00","35,00"
13,↑,+15,Ulm,"56,36","0,00","89,80","37,50","82,50","69,44","50,00","50,00","35,00"
14,↓,-10,Karlsruhe,"56,35","40,00","71,43","75,00","65,00","51,08","50,00","50,00","11,66"
15,↑,+20,Duisburg,"55,29","100,00","26,53","100,00","1,20","40,32","53,33","50,00","35,00"
16,↘,-1,Aachen,"54,99","45,00","94,94","0,00","77,50","73,38","53,33","25,00","35,00"
17,↗,+2,Ingolstadt,"54,22","0,00","66,37","50,00","98,70","51,80","70,00","50,00","11,66"
18,↑,+50,Gelsenkirchen,"53,10","50,00","38,78","75,00","8,70","74,47","70,00","50,00","23,33"
19,↘,-3,Potsdam,"50,75","15,00","99,02","50,00","67,50","38,13","43,33","25,00","35,00"
20,↘,-3,Trier,"50,41","60,00","80,65","25,00","35,00","48,23","36,67","50,00","35,00"
21,↑,+15,Reutlingen,"50,20","20,00","87,76","50,00","55,00","42,85","63,33","50,00","0,00"
22,→ ,0,Regensburg,"49,51","0,00","57,14","50,00","87,50","80,95","53,33","0,00","35,00"
23,↑,+20,Essen,"49,32","100,00","17,39","0,00","23,70","64,75","83,33","50,00","23,33"
24,↗,+3,Braunschweig,"48,02","5,00","59,18","37,50","91,20","86,71","50,00","0,00","23,33"
25,↑,+39,Bochum,"47,29","30,00","45,96","50,00","41,20","42,10","53,33","50,00","35,00"
26,↑,+13,Düsseldorf,"47,23","50,00","15,35","25,00","72,50","83,48","53,33","12,50","35,00"
27,↓,-22,Oldenburg,"47,08","0,00","89,80","0,00","45,00","76,26","100,00","0,00","35,00"
28,↑,+30,Mannheim,"46,90","0,00","64,33","0,00","42,50","34,56","80,00","100,00","23,33"
29,↑,+22,Wolfsburg,"46,77","35,00","14,29","37,50","100,00","71,97","50,00","0,00","35,00"
30,↗,+4,Paderborn,"46,76","40,00","100,00","0,00","76,20","34,19","20,00","50,00","23,33"
31,↓,-11,Nürnberg,"46,65","0,00","55,10","25,00","70,00","51,08","93,33","25,00","23,33"
32,↑,+21,Würzburg,"46,55","10,00","75,51","50,00","80,00","100,00","26,67","0,00","0,00"
33,↑,+13,Bonn,"45,19","40,00","31,67","100,00","38,70","60,12","50,00","0,00","11,66"
34,↓,-27,Berlin,"43,84","20,00","20,41","50,00","78,70","67,31","50,00","12,50","23,33"
35,↑,+9,Fürth,"43,31","20,00","85,71","0,00","63,70","67,25","70,00","0,00","11,66"
36,↑,+14,Wuppertal,"43,28","10,00","35,76","50,00","51,20","74,47","36,67","25,00","35,00"
37,↑,+8,Gütersloh,"43,18","0,00","83,67","0,00","62,50","39,57","70,00","50,00","11,66"
38,↓,-12,Bielefeld,"43,03","0,00","62,29","50,00","93,70","40,32","70,00","0,00","0,00"
39,↑,+9,Kassel,"42,70","20,00","61,22","50,00","58,70","53,96","20,00","50,00","0,00"
40,↑,+23,Lübeck,"42,34","5,00","78,61","25,00","53,70","25,58","63,33","25,00","35,00"
41,↓,-18,Augsburg,"42,26","0,00","58,20","0,00","33,70","68,72","100,00","50,00","0,00"
42,↓,-34,Kiel,"42,19","20,00","14,29","50,00","57,50","76,66","80,00","0,00","11,66"
43,↓,-6,Erlangen,"41,73","0,00","78,61","0,00","92,50","43,91","80,00","0,00","11,66"
44,↑,+22,Koblenz,"40,24","15,00","63,27","0,00","46,20","68,00","80,00","0,00","23,33"
45,↑,+9,Bremen,"39,84","0,00","31,67","100,00","30,00","61,18","70,00","0,00","0,00"
46,↑,+34,Hagen,"39,70","20,00","54,12","12,50","32,50","41,01","70,00","50,00","11,66"
47,↑,+28,Saarbrücken,"39,63","0,00","92,90","50,00","18,70","36,32","20,00","50,00","23,33"
48,↓,-6,Mainz,"38,50","0,00","64,33","0,00","83,70","58,30","53,33","0,00","23,33"
49,↓,-8,Wiesbaden,"38,29","0,00","43,92","0,00","68,70","65,47","80,00","0,00","23,33"
50,↑,+6,Jena,"37,79","0,00","84,73","25,00","20,00","59,71","43,33","45,00","0,00"
51,↓,-18,Göttingen,"37,43","20,00","48,98","0,00","27,50","58,65","70,00","50,00","0,00"
52,↓,-14,Dresden,"37,20","0,00","43,92","0,00","37,50","77,01","80,00","0,00","35,00"
53,↘,-1,Magdeburg,"36,83","0,00","65,31","25,00","26,20","65,87","53,33","0,00","35,00"
54,↓,-44,Hannover,"36,79","10,00","18,37","0,00","48,70","68,37","90,00","0,00","35,00"
55,↓,-37,Bottrop,"36,51","20,00","86,78","0,00","7,50","39,94","16,67","62,50","35,00"
56,↓,-45,Dortmund,"35,46","40,00","38,78","0,00","28,70","51,48","53,33","25,00","23,33"
57,↑,+14,Leverkusen,"34,87","40,00","39,84","0,00","22,50","22,30","20,00","100,00","11,66"
58,↗,+2,Pforzheim,"34,82","20,00","73,47","0,00","50,00","69,09","20,00","0,00","23,33"
59,↑,+22,"Mülheim an der Ruhr","33,61","0,00","36,73","50,00","43,70","29,90","36,67","50,00","0,00"
60,↘,-1,Recklinghausen,"33,34","0,00","53,06","50,00","11,20","79,14","16,67","0,00","35,00"
61,↓,-14,Heilbronn,"32,26","0,00","88,82","0,00","61,20","60,43","26,67","0,00","0,00"
62,↓,-7,Chemnitz,"31,90","0,00","76,57","0,00","12,50","68,72","53,33","0,00","23,33"
63,↓,-33,Frankfurt am Main,"29,29","20,00","19,43","0,00","75,00","34,19","43,33","0,00","23,33"
64,↓,-32,"Ludwigshafen am Rhein","28,89","0,00","26,53","0,00","85,00","47,48","53,33","0,00","0,00"
65,↑,+8,Hildesheim,"28,43","10,00","40,82","0,00","25,00","51,48","70,00","0,00","11,66"
66,↑,+12,Neuss,"27,80","0,00","61,22","0,00","52,50","17,29","50,00","0,00","23,33"
67,↓,-38,Rostock,"26,92","20,00","66,37","25,00","6,20","26,99","53,33","0,00","0,00"
68,↑,+11,Remscheid,"26,24","0,00","29,63","0,00","15,00","48,23","50,00","50,00","0,00"
69,↓,-7,Offenbach am Main,"24,64","20,00","31,67","0,00","47,50","48,58","33,33","0,00","0,00"
70,↓,-39,Erfurt,"24,56","0,00","84,73","25,00","31,20","39,60","0,00","0,00","0,00"
71,↗,+5,Halle (Saale),"24,25","0,00","88,82","0,00","0,00","51,11","26,67","0,00","11,66"
72,→,0,Oberhausen,"23,73","20,00","33,71","0,00","5,00","55,74","36,67","0,00","23,33"
73,↓,-12,Siegen,"23,67","0,00","48,98","0,00","66,20","42,10","16,67","0,00","0,00"
74,→,0,Herne,"22,55","0,00","0,00","25,00","3,70","50,39","36,67","50,00","0,00"
75,↓,-10,Bremerhaven,"22,32","20,00","22,45","0,00","13,70","57,93","50,00","0,00","0,00"
76,↓,-27,Krefeld,"20,74","0,00","48,00","0,00","10,00","1,12","43,33","50,00","0,00"
77,↓,-37,Hamm,"19,70","0,00","71,43","0,00","16,20","44,63","0,00","12,50","0,00"
78,↓,-21,Mönchengladbach,"18,21","0,00","17,39","0,00","21,20","35,25","36,67","0,00","23,33"
79,↘,-2,Bergisch Gladbach,"17,91","5,00","8,16","0,00","73,70","1,44","20,00","0,00","23,33"
80,↓,-11,Salzgitter,"14,95","0,00","68,41","0,00","2,50","22,30","16,67","0,00","0,00"
81,↓,-11,Moers,"10,98","5,00","58,20","0,00","17,50","0,00","0,00","0,00","0,00"
