Rang,Tendenz,"Unterschied Vorjahr",Stadt,Gesamt,Parken,"Smartes Verkehrsmanagement","Vernetzter ÖPNV",Sharing-Angebote,Multimodalität,"Letzte Meile Logistik","Weitere Pilotprojekte"
1,↗,2,Hamburg,"96,77",100,100,"93,67",100,100,96,20
2,↗,4,München,"91,04","87,5",100,"93,67","87,39",100,75,30
3,↗,5,Aachen,"83,75",100,100,"78,9","68,29","73,41",87,20
4,↗,5,Berlin,"78,52",50,"55,56","93,67","95,45",100,100,0
5,↘,-4,Stuttgart,"78,01",25,100,"72,57","90,4","92,5",81,30
6,↘,-4,Karlsruhe,"75,51","37,5",100,"93,67","61,96","71,59",81,30
7,↑,14,Köln,"72,38","87,5","61,11","89,45","74,59","61,36",77,5
8,↑,11,Darmstadt,"72,33",100,"55,56",100,"60,12",100,20,20
9,↑,33,Bochum,"71,01","87,5","41,11","78,9","52,36","82,5",95,10
10,↑,13,Hannover,"68,84",100,"55,56","63,29","71,94","65,91",72,5
11,→,0,"Frankfurt am Main","68,57",100,"66,67","93,67","71,63",25,70,5
12,→,0,Nürnberg,"68,53","87,5","73,33","72,57","52,09","65,23",76,5
13,↑,13,Osnabrück,"66,36",50,"61,11","78,9","57,62","73,41",77,20
14,↓,-7,Düsseldorf,"66,29",50,100,"89,45","89,32","48,86",20,20
15,↑,50,Ulm,"65,45",100,"61,11","93,67","48,68","28,86",60,20
16,↑,15,Leipzig,"65,44","87,5","34,44","93,67","64,18","92,5",20,20
17,↓,-12,Dresden,"64,6",100,100,"63,29","51,16","42,5",20,30
18,↑,15,Mannheim,"64,21","62,5","61,11","78,9","56,16","53,86",72,20
19,↗,1,Duisburg,"63,7","87,5","61,11","72,57","59,22","65,91",25,30
20,↗,4,Wiesbaden,"62,86",50,100,"93,67","58,95","73,41",20,0
21,↑,20,"Freiburg im Breisgau","62,02",25,"66,67","78,9","47,22","90,91",77,5
22,↓,-12,Potsdam,"59,23",50,100,"78,9","41,91","36,36",56,10
23,↓,-7,Bremen,"58,87",0,100,"72,57","57,28",50,81,10
24,↓,-11,Bonn,"57,48",100,"28,89","72,57","50,98","64,66",40,5
25,→,0,Kiel,"55,38","87,5","34,44","72,57","84,41",50,10,10
26,↓,-22,Heidelberg,"54,45",25,"61,11","68,35","63,58",100,20,5
27,↑,24,Mainz,"53,8","87,5","27,78","78,9","70,91","28,86",35,10
28,↓,-10,Dortmund,"52,35",100,"22,22","72,57","44,9","25,11",35,30
29,↑,14,Gelsenkirchen,"52,22",25,"66,67","78,9","43,44",75,20,20
30,↘,-2,Münster,"51,65","62,5","61,11","57,81","62,64","61,36",0,20
31,↗,3,Augsburg,"51,37",50,"22,22","72,57","68,81",100,0,10
32,↗,3,Ingolstadt,"51,02",100,"61,11","93,67","35,27","11,36",0,20
33,↑,7,Lübeck,"50,9",50,"61,11","72,57","70,53","46,48",0,20
34,↘,-2,Essen,"49,61","62,5","66,67","72,57","63,29","42,5",0,5
35,↑,22,Mönchengladbach,"48,89",100,"16,67","72,57","44,9","43,86",10,20
36,↓,-14,Göttingen,"48,79",50,"34,44","66,24","70,31","36,36",30,20
37,→,0,Wuppertal,"46,45",25,"27,78",100,"42,12","47,73",30,20
