Rang,Trend,Unterschied Vorjahr,Stadt,Gesamt,Verwaltung,IT- und Kommunikation,Energie und Umwelt,Mobilität,Gesellschaft
1,→,0,Hamburg,"88,13","76,52","91,49","78,52","98,56","95,55"
2,↗,1,Köln,"79,31","76,73","87,58","58,09","79,13","95,02"
3,↗,2,Karlsruhe,"73,19","75,58","68,65","64,47","74,33","82,95"
4,↘,-2,München,"72,74","74,44","82,43","62,29","75,41","69,15"
5,↘,-1,Darmstadt,"72,52","72,76","70,34","75,15","68,82","75,75"
6,↑,18,Dresden,"71,49","75,29","67,18","47,15","76,48","91,34"
7,↑,11,Bochum,"71,19","75,91","63,93","56,37","80,76","78,97"
8,↘,-2,Stuttgart,"71,12","80,10","52,25","75,60","75,70","71,93"
9,↘,-2,Berlin,"70,25","74,81","57,68","52,63","94,64","71,49"
10,↗,5,"Freiburg im Breisgau","69,13","75,63","48,11","65,90","68,56","87,43"
11,↑,11,Gelsenkirchen,"66,27","67,32","77,31","53,20","72,53","60,99"
12,↗,1,Bonn,"65,93","77,23","60,08","51,76","58,81","81,76"
13,↗,1,Münster,"65,56","59,38","56,65","66,00","62,74","83,04"
14,↘,-2,Leipzig,"64,47","62,62","56,33","45,22","67,71","90,48"
15,↓,-7,Osnabrück,"64,35","75,61","51,71","62,77","68,08","63,59"
16,↑,13,Nürnberg,"64,09","78,38","51,26","45,98","76,14","68,69"
17,↓,-8,Aachen,"64,08","69,55","49,08","57,84","75,49","68,46"
18,↓,-8,Heidelberg,"62,78","77,85","53,76","76,01","50,26","56,01"
19,↓,-8,Düsseldorf,"62,51","64,77","50,96","42,48","80,73","73,60"
20,↑,23,Trier,"62,44","61,44","49,09","69,65","46,44","85,61"
21,↗,2,Wuppertal,"61,78","73,72","52,67","46,59","55,98","79,94"
22,↑,10,Dortmund,"61,50","69,52","56,99","48,43","60,78","71,78"
23,↓,-6,Mannheim,"60,86","78,94","58,06","40,03","67,74","59,54"
24,↗,3,Keiserslautern,"60,68","56,74","42,16","67,46","66,23","80,81"
25,↗,3,Wiesbaden,"60,37","73,53","60,63","56,12","65,20","46,35"
26,↗,4,Paderborn,"59,94","71,62","55,53","59,43","51,46","61,65"
27,↗,4,Bielefeld,"59,65","66,16","57,16","52,23","48,80","73,91"
28,↓,-12,Ulm,"59,37","60,12","55,17","43,11","66,56","71,86"
29,↘,-3,Kiel,"58,03","56,57","61,49","46,83","51,38","73,85"
30,↑,6,Mainz,"57,76","64,10","45,33","46,44","64,01","68,92"
31,↑,23,Regensburg,"57,73","51,80","62,27","59,06","42,34","73,19"
32,↓,-11,Ingoldstadt,"57,30","72,74","47,88","49,59","47,17","69,12"
33,↑,16,Würzburg,"56,91","69,65","45,30","40,02","49,79","79,81"
34,↑,8,Jena,"55,76","56,78","44,44","46,80","46,39","84,39"
35,↑,6,Solingen,"55,30","51,73","53,91","70,43","41,77","58,64"
36,↓,-16,Potsdam,"55,26","47,23","45,98","46,83","60,58","75,66"
37,↓,-18,Duisburg,"55,12","70,82","52,79","40,02","60,34","51,65"
38,↑,9,Kassel,"54,69","67,48","60,43","53,86","42,82","48,87"
39,↗,5,Essen,"54,38","68,28","38,07","48,08","66,94","50,54"
40,↓,-7,Braunschweig,"52,22","60,78","46,11","52,86","52,75","48,58"
41,↗,4,Augsburg,"51,15","64,93","51,30","40,53","52,74","46,24"
42,↘,-4,Lübeck,"50,21","50,59","61,43","38,46","42,02","58,53"
43,↑,22,Rostock,"49,91","69,10","42,24","39,43","36,12","62,67"
44,↑,7,Recklinghausen,"49,89","66,33","51,05","30,96","36,78","64,33"
45,↓,-6,Hannover,"49,82","45,61","46,54","40,66","69,28","47,01"
46,↑,6,Mönchengladbach,"49,38","70,24","43,71","29,76","49,83","53,35"
47,↓,-22,"Frankfurt am Main","49,28","54,39","40,55","28,01","44,79","78,67"
48,↑,24,Neuss,"49,23","67,24","46,85","38,00","38,99","55,08"
49,↓,-14,Erlangen,"49,17","50,85","55,30","49,59","50,48","39,65"
50,↓,-13,Wolfsburg,"49,11","59,30","57,46","46,73","38,21","43,83"
51,↑,7,Reutlingen,"48,11","56,72","48,52","62,13","48,26","24,92"
52,↗,1,Fürth,"47,99","66,81","46,04","54,15","44,12","28,85"
53,↑,8,Chemnitz,"47,76","43,07","41,36","41,79","30,19","82,41"
54,↑,15,"Ludwigshafen am Rhein","46,86","56,58","52,83","34,91","47,50","42,50"
55,↑,7,Bottrop,"46,51","64,41","34,39","36,99","39,51","57,24"
56,↓,-6,Oldenburg,"45,16","54,70","49,82","48,64","31,22","41,42"
57,↓,-23,Bremen,"45,01","50,63","43,77","27,73","56,39","46,53"
58,↗,1,Koblenz,"43,45","53,54","50,21","58,36","21,61","33,52"
59,↘,-3,Hagen,"43,26","54,61","58,09","28,70","33,78","41,14"
60,↓,-12,"Halle (Saale)","43,09","44,53","35,83","24,91","36,61","73,59"
61,↑,7,Heilbronn,"43,01","63,00","20,92","36,92","22,53","71,65"
62,↑,8,Krefeld,"42,67","64,64","32,81","23,03","33,28","59,58"
63,↓,-23,Göttingen,"42,57","50,97","44,80","40,40","44,09","32,60"
64,↗,2,"Offenbach am Main","42,18","62,95","35,18","42,82","40,09","29,86"
65,↘,-2,Oberhausen,"41,93","54,25","29,56","24,17","51,51","50,14"
66,↓,-20,Magdeburg,"41,71","48,95","28,61","23,41","40,60","66,98"
67,↑,6,Herne,"40,49","43,75","49,50","25,65","40,79","42,74"
68,↓,-11,Pforzheim,"39,34","52,72","40,05","34,01","32,43","37,49"
69,↓,-14,Saarbrücken,"38,31","60,09","42,95","32,79","27,46","28,23"
70,↗,4,Hamm,"37,11","61,60","22,00","33,23","35,59","33,13"
71,↓,-11,Erfurt,"36,70","44,79","33,93","38,51","35,04","31,24"
72,↘,-5,Gütersloh,"35,62","56,92","25,11","29,03","37,11","29,94"
73,↗,3,Moers,"34,15","26,15","39,47","22,72","28,77","53,65"
74,↘,-3,Leverkusen,"33,96","24,53","35,27","42,51","27,53","39,95"
75,↗,4,Siegen,"33,24","49,47","31,19","19,48","25,04","41,02"
76,↗,2,"Müllheim an der Ruhr","31,73","27,69","33,87","23,69","30,41","43,01"
77,→,0,Remscheid,"29,87","43,53","33,64","11,06","32,90","28,23"
78,↓,-14,Hildesheim,"29,54","31,30","27,93","22,69","13,21","52,56"
79,↘,-4,Bremerhaven,"28,82","48,49","27,72","26,72","28,16","13,02"
80,→,0,"Bergisch Gladbach","26,65","32,45","21,95","28,16","28,46","22,24"
81,→,0,Salzgitter,"25,56","26,28","37,63","24,74","23,65","15,50"
