Rang,Tendenz,"Unterschied Vorjahr",Stadt,Gesamt,"Interne Prozesse",Payment,Online-Terminvergabe,Online-Dienstleistungen,"Webseite und Social Media",Bevölkerungsanliegen,Service-Portal,"weitere Pilotprojekte"
1,↗,5,Stuttgart,"80,1",75,"92,59","63,27","76,21","78,14","83,33","85,19",35
2,↗,5,Mannheim,"78,94","87,5","92,59","79,59","39,81",100,"83,33","74,07","23,33"
3,↑,55,Nürnberg,"78,38",100,"92,59","84,69","63,11","53,14","66,67","92,59","23,33"
4,↑,6,Heidelberg,"77,85",75,"55,56","79,59","88,35","76,58","92,31","81,48","23,33"
5,↘,-1,Bonn,"77,23",75,"74,07","40,82",100,"87,5","95,83","94,44",0
6,↑,11,Köln,"76,73",100,"78,7","63,27","59,22","54,71","95,83","88,89","23,33"
7,↑,6,Hamburg,"76,52",100,"74,07","43,88","48,54","60,95",100,100,35
8,↑,24,Bochum,"75,91",100,"78,7","84,69","54,37","34,37","78,21","92,59",35
9,↑,16,"Freiburg im Breisgau","75,63",75,"96,3","84,69","98,06","54,71","42,31","81,48","23,33"
10,↓,-8,Osnabrück,"75,61",100,"96,3","42,86","80,58","51,57","66,67","94,44","23,33"
11,↓,-10,Karlsruhe,"75,58",100,"37,04","81,63","64,08","56,26",100,"81,48",35
12,↑,34,Dresden,"75,29",75,"96,3","63,27","27,18","87,5","83,97","85,19",35
13,↘,-2,Berlin,"74,81",75,"74,07",100,"67,96","32,83",100,100,0
14,↗,1,München,"74,44",75,"87,96","64,29","82,52","67,2","70,19",100,0
15,↗,1,Wuppertal,"73,72","87,5","92,59","59,18","72,82","25,03","81,41",100,"23,33"
16,↑,37,Wiesbaden,"73,53",75,"77,78","64,29","78,64","81,25","66,67","85,19","11,66"
17,↘,-5,Darmstadt,"72,8",100,"77,78","69,39","56,31","71,88","91,67","44,44","23,33"
18,↓,-15,Ingolstadt,"72,74",100,"74,07","79,59","80,58","56,26","58,97","85,19",0
19,→,0,Paderborn,"71,62",100,"92,59","59,18","78,64","17,21","55,45",100,"23,33"
20,→,0,Duisburg,"70,82","87,5","92,59","64,29","49,51","51,57","47,44","92,59",35
21,↑,36,Mönchengladbach,"70,24","87,5","74,07","61,22","78,64","35,94","51,28","92,59",35
22,↑,22,Würzburg,"69,65",75,"74,07","64,29","78,64","59,39","67,95","92,59",0
23,↑,11,Aachen,"69,55",75,"74,07","47,96","78,64","65,64","42,31","92,59",35
24,↑,17,Dortmund,"69,52",100,"40,74","44,9","59,22","46,87","91,67","92,59",35
25,↑,43,Rostock,"69,1",75,"74,07","81,63","78,64","50,41","66,67","81,48",0
26,↑,16,Essen,"68,28",75,"49,07","59,18","34,95","84,38","83,33","92,59","23,33"
27,↑,23,Kassel,"67,48",75,"96,3","64,29","64,08","82,82","67,95","22,22","23,33"
28,↑,11,Gelsenkirchen,"67,32","87,5","92,59","43,88","35,92","40,64","66,67","92,59",35
29,↑,45,Neuss,"67,24",75,"74,07","48,98","49,51","59,37","75,64",100,"11,66"
30,↗,1,Fürth,"66,81",100,"37,04",100,"63,11","23,43","58,97","85,19","23,33"
31,↑,29,Recklinghausen,"66,33","87,5","74,07","79,59","68,93","21,87","51,28","92,59","11,66"
32,↓,-18,Bielefeld,"66,16",50,"92,59","79,59","74,76","71,88","42,31","51,85","23,33"
33,↗,4,Augsburg,"64,93",75,"74,07","81,63","78,64","59,39",0,"85,19","23,33"
