Rang,Tendenz,"Unterschied Vorjahr",Stadt,Gesamt,Breitband,Glasfaser,Mobilfunk,"Public WLAN",IoT-Netzwerk,Daten-plattform,"Weitere Pilot-projekte"
1,↗,2,Hamburg,"91,49","85,71","89,89",75,100,"95,79",100,30
2,↘,-1,Köln,"87,58",100,"78,65",100,"85,19","77,93",100,10
3,↘,-1,München,"82,43","85,71","60,67","97,92",100,100,75,0
4,↗,2,Gelsenkirchen,"77,31","85,71","53,93","56,25","85,19","88,46","87,5",30
5,↘,-1,Darmstadt,"70,34","85,71","2,25","56,25",100,"78,94",100,20
6,↑,9,Karlsruhe,"68,65","85,71","1,12",75,100,"83,15","87,5",0
7,↑,7,Dresden,"67,18","71,43","13,48","81,25",100,"62,09",75,20
8,↘,-3,Bochum,"63,93","85,71","13,48","81,25","92,59","74,73",25,30
9,↑,28,Regensburg,"62,27",100,"71,91","33,33","85,19","56,87",25,20
10,↑,7,Kiel,"61,49","85,71","24,72",50,100,"89,47","37,5",0
11,↑,10,Lübeck,"61,43","85,71","4,49","47,92","85,19","93,68",50,20
12,→,0,Wiesbaden,"60,63","85,71",100,50,"85,19","61,08",0,0
13,↑,44,Kassel,"60,43","85,71","2,25","72,92","62,96","56,87",100,0
14,↓,-6,Bonn,"60,08",100,"10,11","81,25","77,78","96,88","12,5",0
15,↑,24,Hagen,"58,09","85,71","5,62","56,25","85,19","63,18",50,20
16,↑,7,Mannheim,"58,06","85,71","37,08","56,25","85,19","51,56",50,0
17,↓,-10,Berlin,"57,68","71,43","8,99","89,58",100,"68,41",25,0
18,↑,30,Wolfsburg,"57,46","71,43","74,16","72,92","59,26","4,21",50,30
19,↑,48,Bielefeld,"57,16","71,43","7,87","72,92",100,"57,88",50,0
20,↘,-4,Dortmund,"56,99","42,86","6,74",75,"62,96","98,99","62,5",10
21,↗,1,Münster,"56,65","57,14","7,87","64,58","85,19","42,12",100,0
22,↘,-4,Leipzig,"56,33","71,43","11,24","64,58","92,59","40,02",75,0
23,↑,15,Paderborn,"55,53","85,71",0,"47,92","85,19","81,04",50,0
24,↗,5,Erlangen,"55,3","85,71","44,94","56,25","77,78","73,72",0,10
25,↓,-12,Ulm,"55,17","71,43","4,49","33,33","77,78","90,56",50,20
26,↗,1,Solingen,"53,91","57,14","8,99","31,25","77,78","69,5",75,20
27,↓,-8,Heidelberg,"53,76","14,29","4,49","56,25",100,"53,66",100,10
