Rang,Tendenz,"Unterschied Vorjahr",Stadt,Gesamt,"Intelligente Straßenbeleuchtung",Energielösungen,"Smart Waste","Anteil E-Fahrzeuge",Ladeinfrastruktur,"Emissionsarme Busse","Weitere Pilotprojekte"
1,↗,4,Hamburg,"78,52",100,"31,56","87,5","81,2","81,11","83,33",30
2,↘,-1,Heidelberg,"76,01",100,"70,24",50,"93,7","81,61","53,33",30
3,→,0,Stuttgart,"75,6",75,"31,56",100,"96,2","73,52",70,30
4,→,0,Darmstadt,"75,15",100,"45,97",50,"87,5","76,66","93,33",20
5,↗,4,Solingen,"70,43",100,"27,02",50,"68,7","74,64","93,33",30
6,↑,14,Trier,"69,65",100,100,"37,5",55,"62,96","63,33",20
7,↗,1,Kaiserslautern,"67,46",50,"97,26",75,"76,2","63,21","43,33",20
8,↘,-1,Münster,66,"87,5","58,57",50,90,"26,4","83,33",20
9,↗,2,"Freiburg im Breisgau","65,9",50,"79,25",75,"83,7","43,91","53,33",30
10,↗,4,Karlsruhe,"64,47","37,5","61,24",75,"88,7","73,74",70,0
11,↘,-5,Osnabrück,"62,77","37,5","65,78",50,65,"63,84","93,33",20
12,↓,-10,München,"62,29",75,"35,16",50,"91,2","74,39","66,67",0
13,↑,8,Reutlingen,"62,13",50,"70,24",50,"51,2",100,70,0
14,↑,16,Paderborn,"59,43",100,"80,19",50,85,"39,23",20,0
15,↑,7,Regensburg,"59,06",0,"51,37","37,5","77,5","92,36","83,33",30
16,↑,28,Koblenz,"58,36","37,5","67,58",25,70,"77,56",80,10
17,↓,-7,Köln,"58,09",50,"34,22","87,5",50,"34,26",80,30
18,↘,-2,Aachen,"57,84",75,"42,36",0,"72,5","84,52",70,20
19,↑,6,Bochum,"56,4",75,"32,42","62,5","48,7","36,48",70,30
20,↑,29,Wiesbaden,"56,12","37,5","31,56",0,95,"76,18","93,33",20
21,↑,14,Fürth,"54,15",50,"67,58",25,"52,5","66,08",70,10
22,↑,17,Kassel,"53,86","62,5","62,18","87,5","62,5","24,65",20,20
23,↓,-5,Gelsenkirchen,"53,2","87,5","45,03","37,5","23,7","41,43",70,30
24,→,0,Braunschweig,"52,86","37,5","64,84",0,"98,7","78,67","43,33",10
25,↑,9,Berlin,"52,6",50,"15,35",50,"63,7","39,17","83,33",30
26,↑,12,Bielefeld,"52,23",0,"44,16",50,"92,5","69,02","53,33",20
27,↑,6,Bonn,"51,76",75,"33,36","62,5","42,5","36,05","66,67",10
28,↑,15,Erlangen,"49,59",0,"54,97","37,5","73,7","56,25",80,10
29,↓,-12,Ingolstadt,"49,59",0,"60,37",50,"97,5","84,52",20,0
30,↘,-3,Oldenburg,"48,64",0,"68,44",0,"47,5","83,82","86,67",20
31,↑,25,Dortmund,"48,43",100,"34,22",50,35,"35,87",20,30
32,↘,-9,Essen,"48,08","87,5","18,01","37,5","26,2","70,37","33,33",30
33,↑,19,Dresden,"47,15",75,"57,64",0,"17,5","80,23","36,67",30
34,↑,8,Kiel,"46,83",50,"15,35",50,"57,5","52,18",70,0
35,↘,-16,Potsdam,"46,83","37,5","75,65","62,5","41,2","48,16",20,10
36,↑,14,Jena,"46,8",0,"73,85","62,5","27,5","60,99",70,0
37,↓,-8,Wolfsburg,"46,73",50,0,50,100,"77,76","16,67",0
