Rang,Tendenz,"Unterschied Vorjahr",Stadt,Gesamt,Parken,"Smartes Verkehrsmanagement","Smarter ÖPNV",Sharing-Angebote,Multimodalität,"Letzte Meile Logistik","Weitere Pilotprojekte"
1,→,0,Hamburg,"98,56",100,100,"90,91",100,100,100,30
2,↗,2,Berlin,"94,64",100,100,"90,91","95,3",100,80,30
3,↑,6,Bochum,"80,76",100,"37,5","77,27","81,14","87,88",95,30
4,↑,10,Düsseldorf,"80,73","87,5",100,"86,36","93,52","71,21",40,30
5,↗,2,Köln,"79,13",100,"62,5","72,73","90,39","87,88",65,20
6,↑,11,Dresden,"76,48",100,100,"86,36","57,59","87,88",20,30
7,↗,5,Nürnberg,"76,14",50,75,100,"54,68",100,70,30
8,↘,-3,Stuttgart,"75,7",25,100,"77,27","94,64",100,60,20
9,↓,-6,Aachen,"75,49","87,5",50,"68,18","74,88",100,65,30
10,↓,-8,München,"75,41",50,100,"90,91","91,29","87,88",55,0
11,↘,-5,Karlsruhe,"74,33","62,5",100,"95,45","66,96","83,33",40,20
12,↑,17,Gelsenkirchen,"72,53","87,5",100,"81,82","49,77","87,88",20,30
13,↘,-3,Hannover,"69,28",100,"62,5","77,27","82,14","54,55",60,0
14,↘,-6,Darmstadt,"68,62","62,5","62,5","86,36","83,04","87,88",20,30
15,↑,6,"Freiburg im Breisgau","68,56",50,50,"81,82","77,23","87,88",65,20
16,↘,-3,Osnabrück,"68,08",50,"62,5","81,82","56,69","87,88",60,30
17,↗,1,Mannheim,"67,74",50,"62,5","77,27",77,100,60,0
18,↘,-2,Leipzig,"67,71","87,5","37,5","81,82","71,87","87,88",40,20
19,↑,15,Essen,"66,94","87,5","37,5","77,27","79,46",100,20,20
20,↘,-5,Ulm,"66,56","87,5","62,5","77,27","53,57","48,48",80,10
21,↑,21,Kaiserslautern,"66,23",100,25,"77,27","53,34","66,67",75,20
22,↘,-2,Wiesbaden,"65,2",50,100,"95,45",77,"33,33",55,0
23,↗,4,Mainz,"64,01","87,5","62,5","81,82","87,95","23,48",40,20
24,↑,6,Münster,"62,74","87,5",50,"72,73","81,7","33,33",40,30
25,↗,3,Dortmund,"60,78",100,50,"68,18","51,22","23,48",60,30
26,↘,-4,Potsdam,"60,58",50,100,"63,64","49,55","48,48",60,10
27,↓,-8,Duisburg,"60,34",100,50,"77,27","68,3","54,55",0,30
28,↘,-4,Bonn,"58,81",50,"37,5","77,27","67,85","87,88",40,10
29,↓,-6,Bremen,"56,39",25,"62,5","77,27","67,18","33,33",60,30
30,↑,7,Wuppertal,"55,98",50,50,"77,27","51,79","63,64",30,30
31,↑,10,Braunschweig,"52,75","87,5",50,"77,27","54,23","33,33",0,30
32,↘,-1,Augsburg,"52,74",50,50,"81,82","75,89","54,55",0,20
33,↑,22,Oberhausen,"51,51",100,75,"86,36","47,98","15,15",0,0
34,↑,24,Paderborn,"51,46",100,"62,5","68,18","38,39","15,15",40,0
35,↓,-10,Kiel,"51,38","87,5","37,5","86,36","68,97","33,33",10,0
36,↑,7,Erlangen,"50,48",50,"12,5","77,27","49,77","48,48",60,20
37,↓,-11,Heidelberg,"50,26",25,"62,5","68,18","60,93",100,0,0
38,↘,-3,Mönchengladbach,"49,83",100,"12,5","68,18","59,59","38,64",25,10
39,↑,25,Würzburg,"49,79",50,"62,5","71,82","56,02","33,33",40,0
40,→,0,Bielefeld,"48,8","62,5",25,"68,18","83,26","48,48",10,10
41,↗,4,Reutlingen,"48,26","87,5",50,"95,45","51,11",0,10,10
42,↑,32,"Ludwigshafen am Rhein","47,5","37,5",75,"59,09","52,68",75,0,0
43,↓,-11,Ingolstadt,"47,17",100,"62,5","77,27","33,93","23,48",0,0
44,↗,2,Trier,"46,44",100,50,"72,73","11,38","48,48",0,10
45,↑,24,Jena,"46,39",100,50,"63,64","63,61",0,15,0
46,↓,-35,"Frankfurt am Main","44,79",50,"12,5","81,82","89,5","8,33",40,0
47,↗,5,Fürth,"44,12","62,5","37,5","77,27","47,32","33,33",10,10
48,↓,-12,Göttingen,"44,09",25,"62,5","68,18","66,96","15,15",20,20
49,↘,-1,Kassel,"42,82",50,"62,5","63,64","58,47","15,15",10,10
50,→,0,Regensburg,"42,34",25,25,"95,45","37,94","8,33",45,30
51,↓,-18,Lübeck,"42,02",50,"62,5","63,64","60,27","8,33",0,20
52,↑,24,Solingen,"41,77",100,"37,5","45,45","35,04","15,15",0,30
53,↑,18,Herne,"40,79",50,25,"81,82","40,18",0,40,20
54,↓,-16,Magdeburg,"40,6",50,"37,5","72,73","20,54",0,75,0
55,↘,-4,"Offenbach am Main","40,09",50,"12,5","72,73","54,02","33,33",20,10
56,↓,-9,Bottrop,"39,51",50,0,"72,73","17,86","8,33",100,0
57,↑,21,Neuss,"38,99",50,25,"77,27","38,39",25,20,10
58,↓,-9,Wolfsburg,"38,21",100,"62,5","54,55","23,66",0,0,0
59,↘,-3,Gütersloh,"37,11",50,"12,5","81,82","74,32","15,15",0,0
60,↓,-6,Recklinghausen,"36,78",50,50,"77,27","26,11","8,33",20,0
61,↗,2,"Halle (Saale)","36,61",50,50,"72,73","49,55","8,33",0,0
62,↓,-18,Rostock,"36,12",50,"12,5","68,18","43,52","33,33",20,0
63,↗,2,Hamm,"35,59",50,50,"45,45","25,44","33,33",10,10
64,↓,-25,Erfurt,"35,04",50,"12,5","81,82","56,46",0,0,20
65,↘,-3,Hagen,"33,78",50,"62,5","72,73","7,58",0,0,20
66,↓,-6,Krefeld,"33,28",25,"12,5","72,73","45,98","23,48",10,20
67,↗,3,Remscheid,"32,9",50,50,"77,27",0,0,0,30
68,↓,-15,Pforzheim,"32,43","87,5","12,5","54,55","49,77",0,0,0
69,↓,-12,Oldenburg,"31,22",0,"12,5","81,82","54,02","8,33",40,0
70,↑,11,"Mülheim an der Ruhr","30,41",50,"12,5","77,27","51,79",0,0,0
71,↗,2,Chemnitz,"30,19",50,"12,5","54,55","53,13",0,0,20
72,↓,-13,Moers,"28,77",100,"12,5","63,64","5,13",0,0,0
