Rang,Tendenz,"Unterschied Vorjahr",Stadt,Gesamt,Öffentlichkeitsbeteiligung,"FabLabs und Coworking",Digital-Szene,Open-Data-Plattform,Geodatenportal,"Lokaler Handel und Startup-Hubs","Weitere Pilotprojekte"
1,→,0,Hamburg,"95,55",100,"87,5",100,"94,44","100,00","100,00",20
2,↗,1,Köln,"95,02",100,"87,5",100,"94,44","96,67","100,00",20
3,↑,16,Dresden,"91,34","94,87",75,100,"88,89","96,67","100,00",20
4,↘,-2,Leipzig,"90,48","66,67",100,"93,33",100,"100,00","100,00",10
5,↗,2,"Freiburg im Breisgau","87,43","83,33","87,5","66,67","83,33","100,00","100,00",30
6,↑,42,Trier,"85,61","78,21",100,60,"94,44","96,67","100,00",10
7,↑,8,Jena,"84,39","73,08","87,5","93,33","94,44","63,33","100,00",20
8,→,0,Münster,"83,04","94,87",100,"93,33","94,44","73,33","57,14",10
9,↗,2,Karlsruhe,"82,95","83,33","87,5",100,"88,89","100,00","42,86",20
10,↑,15,Chemnitz,"82,41","83,33","62,5","93,33","83,33","96,67","100,00",0
11,↘,-2,Bonn,"81,76",100,100,"93,33","88,89","90,00","42,86",0
12,↘,-6,Wuppertal,"79,94","83,33","62,5",60,"94,44","93,33","100,00",10
13,↑,18,Würzburg,"79,81","87,5","87,5","66,67","77,78","83,33","100,00",0
14,↑,23,Bochum,"78,97",45,"62,5","66,67",100,"93,33","100,00",30
15,↗,1,"Frankfurt am Main","78,67","83,33",75,100,"94,44","100,00","42,86",0
16,↓,-11,Darmstadt,"75,75","83,33",75,"66,67","55,56","66,67","100,00",30
17,↗,5,Potsdam,"75,66",100,100,60,"83,33","33,33","100,00",0
18,↑,6,Bielefeld,"73,91","66,67",75,60,"94,44","96,67","42,86",30
19,↑,9,Kiel,"73,85","33,33","87,5",60,"77,78","96,67","100,00",10
20,↓,-8,Düsseldorf,"73,6","33,33","87,5",100,100,"100,00","42,86",0
21,↘,-1,"Halle (Saale)","73,59","63,33","62,5",60,"77,78","100,00","100,00",0
22,↑,32,Regensburg,"73,19","59,17","87,5",60,"27,78","96,67","100,00",30
23,↓,-10,Stuttgart,"71,93",100,"62,5",100,"27,78","100,00","42,86",20
24,↓,-6,Ulm,"71,86","61,54",75,"66,67",100,"86,67","42,86",20
25,↑,10,Dortmund,"71,78","8,33",75,"66,67","88,89","93,33","100,00",20
26,↑,19,Heilbronn,"71,65","83,33","62,5","33,33","88,89","83,33","100,00",0
27,↓,-23,Berlin,"71,49",100,75,100,"94,44","56,67","14,29",10
28,↑,10,Kaiserslautern,"70,81","36,67",25,"66,67","94,44","93,33","100,00",30
29,↓,-12,München,"69,15",50,75,100,"94,44","63,33","42,86",10
30,↗,4,Ingolstadt,"69,12","94,87",75,60,"5,56","100,00","100,00",0
31,↑,21,Mainz,"68,92",50,"87,5","33,33","83,33","60,00","100,00",20
32,↑,24,Nürnberg,"68,69","83,33",75,60,"27,78","56,67","100,00",30
33,↓,-19,Aachen,"68,46","16,67","87,5","66,67","83,33","100,00","57,14",20
34,↘,-5,Magdeburg,"66,98","33,33","87,5","66,67","77,78","56,67","100,00",0
35,↑,11,Recklinghausen,"64,33",10,"37,5",60,"94,44","93,33","100,00",10
36,↓,-15,Osnabrück,"63,59","56,67",100,60,"27,78","93,33","42,86",20
37,↑,18,Rostock,"62,67","83,33",0,"33,33","88,89","100,00","89,29",0
38,↓,-12,Paderborn,"61,65","61,54","62,5","66,67","55,56","90,00","32,14",20
39,↓,-7,Gelsenkirchen,"60,99","33,33","62,5","33,33","88,89","93,33","42,86",30
40,↑,7,Krefeld,"59,58",50,"62,5",0,100,"100,00","42,86",20
41,↓,-18,Mannheim,"59,54","83,33",50,"66,67","72,22","60,00","42,86",0
42,↑,9,Solingen,"58,64",100,25,0,"27,78","86,67","100,00",30
43,↑,15,Lübeck,"58,53","78,21",75,"26,67","55,56","13,33","100,00",20
44,↑,23,Bottrop,"57,24","46,67",50,"33,33","94,44","93,33","42,86",0
45,↓,-35,Heidelberg,"56,01","33,33",100,"93,33",0,"53,33","42,86",30
46,↑,20,Neuss,"55,08","32,5",50,"26,67","83,33","86,67","67,86",0
47,↑,27,Moers,"53,65","4,17",50,"33,33",100,"93,33","57,14",0
48,↓,-9,Mönchengladbach,"53,35",50,75,0,"11,11","90,00","100,00",10
49,↓,-16,Hildesheim,"52,56",20,100,"26,67","27,78","56,67","100,00",0
50,↓,-23,Duisburg,"51,65",20,50,"33,33","94,44","93,33","14,29",20
51,↘,-1,Essen,"50,54","26,67",0,"66,67","88,89","93,33","42,86",0
52,↗,1,Oberhausen,"50,14","78,21","37,5","33,33","77,78","68,33","10,71",10
53,↓,-10,Kassel,"48,87","36,67",75,"66,67",0,"66,67","42,86",20
54,↓,-14,Braunschweig,"48,58","78,21",75,"33,33",0,"76,67","42,86",0
55,↗,5,Hannover,"47,01","16,67",50,100,0,"86,67","42,86",0
56,↓,-20,Bremen,"46,53","26,67","62,5","66,67","94,44","0,00","42,86",0
57,↓,-15,Wiesbaden,"46,35","66,67","62,5","33,33",0,"76,67","42,86",10
58,↘,-1,Augsburg,"46,24","33,33","62,5",60,0,"93,33","32,14",10
59,↓,-15,Wolfsburg,"43,83",50,25,0,"27,78","63,33","100,00",10
60,↗,4,"Mülheim an der Ruhr","43,01","66,67",0,"33,33","66,67","90,00","14,29",0
61,↑,8,Herne,"42,74","18,33","12,5",0,"88,89","96,67","42,86",10
62,↑,6,"Ludwigshafen am Rhein","42,5","78,21",25,"33,33",0,"68,33","42,86",20
63,↓,-22,Oldenburg,"41,42",100,50,"33,33",0,"53,33","14,29",10
64,↗,1,Hagen,"41,14",0,"62,5",0,100,"86,67","0,00",10
65,↘,-3,Siegen,"41,02",10,"62,5","33,33",0,"63,33","89,29",0
66,↑,6,Leverkusen,"39,95","70,51",75,0,0,"63,33","42,86",0
67,↓,-37,Erlangen,"39,65",0,"62,5","66,67","61,11","16,67","42,86",0
68,↓,-7,Pforzheim,"37,49",0,50,0,"66,67","56,67","42,86",20
69,↓,-20,Koblenz,"33,52","20,83","37,5","33,33",0,"56,67","42,86",20
70,↗,5,Hamm,"33,13","16,67","62,5",0,0,"86,67","42,86",0
71,↓,-8,Göttingen,"32,6","32,5",50,"33,33",0,"46,67","42,86",0
72,↓,-13,Erfurt,"31,24","33,33","62,5","26,67",0,"60,00","14,29",0
73,↗,5,Gütersloh,"29,94","46,67","37,5",0,"27,78","76,67","0,00",0
74,↗,5,"Offenbach am Main","29,86","66,67","37,5",0,"27,78","13,33","42,86",0
75,↘,-4,Fürth,"28,85",10,"87,5",0,0,"70,00","14,29",0
76,→,0,Remscheid,"28,23","16,67",25,0,0,"93,33","42,86",0
76,↓,-6,Saarbrücken,"28,23",0,75,60,0,"0,00","42,86",0
78,↘,-5,Reutlingen,"24,92",0,"37,5",0,0,"66,67","42,86",10
79,↗,1,"Bergisch Gladbach","22,24",20,"12,5",0,0,"93,33","14,29",0
80,→,0,Salzgitter,"15,5","16,67",0,0,0,"66,67","14,29",0
81,↘,-5,Bremerhaven,"13,02","16,67","12,5",0,0,"0,00","42,86",10
